id,eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1,natlty1_txt,gname,guncertain1,individual,weaptype1,weaptype1_txt,nkill,property,ishostkid,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY
143522,201501270023,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Alexandria,Alexandria,31.199901,29.918739000000002,1.0,0,1,1,1,0.0,0.0,1,0,2,Armed Assault,3,Police,22.0,"Police Building (headquarters, station, school)",Police Station,60.0,Egypt,Unknown,0.0,0,8,Incendiary,0.0,1,0.0,START Primary Collection,-9,-9,0,-9
143523,201501270024,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum,29.311707000000002,30.838812,1.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,2,Government (General),14.0,Judge/Attorney/Court,Courthouse,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,-9,0.0,START Primary Collection,-9,-9,0,-9
143524,201501270026,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum,29.311707000000002,30.838812,1.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilian,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,-9,0.0,START Primary Collection,-9,-9,0,-9
143525,201501270027,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum,29.311707000000002,30.838812,1.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143526,201501270028,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum,29.311707000000002,30.838812,1.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143527,201501270029,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum,29.311707000000002,30.838812,1.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143528,201501270030,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum,29.311707000000002,30.838812,1.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143529,201501270031,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Aswan,Unknown,24.088938,32.899829,4.0,0,1,1,1,0.0,1.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143530,201501270032,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Kafr el-Sheikh,Unknown,31.106367,30.942002000000002,4.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143531,201501270033,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Monufia,Unknown,30.597245,30.987632,4.0,0,1,1,1,0.0,1.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143556,201501270073,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Cairo,Unknown,30.044245,31.235845,4.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,3,Police,25.0,Police Security Forces/Officers,Personnel,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143557,201501270074,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Giza,Unknown,28.766621999999998,29.232078,4.0,0,1,1,1,0.0,1.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143558,201501270075,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Beni Suef,Unknown,29.066127,31.099384000000004,4.0,0,1,1,1,0.0,1.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143559,201501270076,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Minya,Unknown,28.086801,30.762019,4.0,0,1,1,1,0.0,1.0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143560,201501270088,2015,1,27,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,7,Facility/Infrastructure Attack,1,Business,2.0,Restaurant/Bar/Café,Restaurant,60.0,Egypt,Popular Resistance Movement (Egypt),0.0,0,8,Incendiary,0.0,1,0.0,START Primary Collection,0,0,0,0
143584,201501280035,2015,1,28,0,60,Egypt,10,Middle East & North Africa,Qena,Qena,26.154981,32.716012,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143585,201501280036,2015,1,28,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,19,Transportation,101.0,Bus Station/Stop,Bus Stop,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143597,201501280052,2015,1,28,0,60,Egypt,10,Middle East & North Africa,Al Sharqia,Abu Kibir,30.725416,31.669928000000002,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,1,Business,3.0,Bank/Commerce,Automated Teller Machine (ATM),60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,-9,0.0,START Primary Collection,-9,-9,0,-9
143607,201501290007,2015,1,29,0,60,Egypt,10,Middle East & North Africa,North Sinai,Arish,31.126646,33.800865,1.0,0,1,1,1,0.0,1.0,1,1,3,Bombing/Explosion,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Buildings,60.0,Egypt,Sinai Province of the Islamic State,0.0,0,6,Explosives,26.0,1,0.0,START Primary Collection,0,0,0,0
143608,201501290008,2015,1,29,0,60,Egypt,10,Middle East & North Africa,North Sinai,Rafah,31.250196000000003,34.241279999999996,1.0,0,1,1,0,1.0,1.0,1,0,9,Unknown,4,Military,36.0,Military Checkpoint,Checkpoint,60.0,Egypt,Sinai Province of the Islamic State,0.0,0,13,Unknown,1.0,0,0.0,START Primary Collection,0,0,0,0
143609,201501290009,2015,1,29,0,60,Egypt,10,Middle East & North Africa,Suez,Suez,29.966757,32.549628000000006,1.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,3,Police,25.0,Police Security Forces/Officers,Officer,60.0,Egypt,Sinai Province of the Islamic State,0.0,0,6,Explosives,1.0,0,0.0,START Primary Collection,0,0,0,0
143610,201501290010,2015,1,29,0,60,Egypt,10,Middle East & North Africa,North Sinai,Arish district,31.131690000000003,33.803276000000004,3.0,0,1,1,0,1.0,1.0,1,0,2,Armed Assault,4,Military,36.0,Military Checkpoint,Checkpoints,60.0,Egypt,Sinai Province of the Islamic State,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,0,0,0,0
143611,201501290011,2015,1,29,0,60,Egypt,10,Middle East & North Africa,Port Said,Unknown,31.265289000000003,32.301866,4.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,21,Utilities,107.0,Electricity,Electricity Transformer,60.0,Egypt,Unknown,0.0,0,6,Explosives,1.0,-9,0.0,START Primary Collection,-9,-9,0,-9
143614,201501290017,2015,1,29,0,60,Egypt,10,Middle East & North Africa,North Sinai,Arish,31.126646,33.800865,1.0,0,1,1,1,0.0,1.0,1,0,3,Bombing/Explosion,3,Police,22.0,"Police Building (headquarters, station, school)",Headquarters,60.0,Egypt,Sinai Province of the Islamic State,0.0,0,6,Explosives,0.0,1,0.0,START Primary Collection,0,0,0,0
143621,201501290038,2015,1,29,0,60,Egypt,10,Middle East & North Africa,Minya,Minya,28.086801,30.762019,1.0,0,1,1,1,0.0,0.0,1,0,2,Armed Assault,3,Police,25.0,Police Security Forces/Officers,Officer,60.0,Egypt,Revolutionary Punishment Movement,0.0,0,5,Firearms,0.0,0,0.0,START Primary Collection,0,0,0,0
